agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,rNINO_ds_acc,2_NINO_ds_acc,3_NINO_ds_acc,2_NIFO_ds_acc,3_NIFO_ds_acc,2_rNINO_ds_acc,3_rNINO_ds_acc,NIs,NI_acc
MTL0s3,MTL0s2,MTL0,2,0.375,0.925,0.70374995470047,0.95,1.0,0.95,0.95,0.975,1.0,1.0,0.95,0.925,"[[  9]
 [ 20]
 [  9]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 48]
 [ 29]
 [ 36]
 [ 25]
 [ 54]
 [ 29]
 [ 25]
 [ 40]
 [ 42]
 [ 53]
 [ 91]
 [ 81]
 [ 61]
 [ 89]
 [ 85]
 [ 91]
 [ 61]
 [ 61]
 [ 70]
 [ 86]
 [ 95]
 [117]
 [102]
 [117]
 [ 99]
 [ 99]
 [101]
 [101]
 [ 99]
 [ 99]]",0.85
MTL0s3,MTL0s3,MTL0,3,0.574999988079071,0.875,0.7324999570846558,0.875,1.0,1.0,0.875,0.875,1.0,1.0,1.0,1.0,"[[ 19]
 [ 19]
 [ 19]
 [ 59]
 [ 10]
 [ 10]
 [ 19]
 [ 22]
 [ 19]
 [ 20]
 [ 53]
 [ 53]
 [ 53]
 [ 46]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 46]
 [ 91]
 [ 67]
 [ 91]
 [ 87]
 [ 91]
 [ 81]
 [ 91]
 [ 70]
 [ 83]
 [ 89]
 [109]
 [109]
 [109]
 [117]
 [106]
 [109]
 [117]
 [109]
 [109]
 [109]]",0.9875
MTL0s3,MTL0s4,MTL0,4,0.574999988079071,0.95,0.7274999618530273,0.925,1.0,0.975,0.9,0.9,1.0,1.0,0.95,0.95,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 59]
 [  1]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 25]
 [ 42]
 [ 25]
 [ 50]
 [ 36]
 [ 36]
 [ 25]
 [ 40]
 [ 42]
 [ 58]
 [ 67]
 [ 67]
 [ 67]
 [ 84]
 [ 84]
 [ 66]
 [ 62]
 [ 91]
 [ 89]
 [ 82]
 [109]
 [ 97]
 [109]
 [117]
 [103]
 [103]
 [117]
 [103]
 [114]
 [103]]",0.8375
MTL0s3,MTL0.2s0,MTL0.2,0,0.925000011920929,0.9,0.7099999785423279,0.875,1.0,0.9,0.9,0.9,1.0,1.0,0.925,0.925,"[[ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 25]
 [ 20]
 [ 20]
 [ 25]
 [ 14]
 [ 20]
 [ 25]
 [ 29]
 [ 25]
 [ 29]
 [ 29]
 [ 29]
 [ 25]
 [ 40]
 [ 36]
 [ 58]
 [ 67]
 [ 79]
 [ 62]
 [ 81]
 [ 84]
 [ 81]
 [ 62]
 [ 69]
 [ 81]
 [ 81]
 [ 95]
 [109]
 [109]
 [ 95]
 [102]
 [102]
 [ 95]
 [ 99]
 [119]
 [109]]",0.8
MTL0s3,MTL0.2s1,MTL0.2,1,0.949999988079071,0.925,0.7174999713897705,0.875,1.0,0.875,0.925,0.925,1.0,1.0,0.925,0.9,"[[ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 14]
 [ 19]
 [ 25]
 [ 42]
 [ 42]
 [ 41]
 [ 36]
 [ 46]
 [ 25]
 [ 42]
 [ 42]
 [ 46]
 [ 67]
 [ 67]
 [ 62]
 [ 67]
 [ 67]
 [ 64]
 [ 91]
 [ 91]
 [ 67]
 [109]
 [109]
 [109]
 [ 93]
 [ 99]
 [ 96]
 [109]
 [ 99]
 [109]
 [ 99]
 [114]]",0.9
MTL0s3,MTL0.2s2,MTL0.2,2,0.949999988079071,0.95,0.6974999904632568,0.95,1.0,0.975,0.9,0.875,1.0,1.0,0.925,0.9,"[[ 21]
 [ 20]
 [ 23]
 [ 20]
 [ 10]
 [ 19]
 [ 20]
 [ 20]
 [ 19]
 [ 19]
 [ 48]
 [ 42]
 [ 48]
 [ 36]
 [ 54]
 [ 29]
 [ 48]
 [ 42]
 [ 42]
 [ 46]
 [ 67]
 [ 82]
 [ 82]
 [ 60]
 [ 91]
 [ 91]
 [ 61]
 [ 70]
 [ 70]
 [109]
 [ 95]
 [109]
 [109]
 [109]
 [109]
 [109]
 [ 95]
 [109]
 [109]
 [109]]",0.9
MTL0s3,MTL0.2s3,MTL0.2,3,0.925000011920929,0.925,0.737500011920929,0.875,1.0,0.9,0.875,0.875,1.0,1.0,0.875,0.875,"[[ 10]
 [ 19]
 [ 20]
 [ 59]
 [ 10]
 [ 10]
 [ 19]
 [ 10]
 [ 20]
 [ 20]
 [ 25]
 [ 53]
 [ 48]
 [ 41]
 [ 54]
 [ 53]
 [ 53]
 [ 44]
 [ 53]
 [ 41]
 [ 91]
 [ 67]
 [ 79]
 [ 60]
 [ 84]
 [ 81]
 [ 82]
 [ 70]
 [ 83]
 [ 82]
 [109]
 [113]
 [102]
 [117]
 [109]
 [102]
 [102]
 [109]
 [109]
 [109]]",0.9375
MTL0s3,MTL0.2s4,MTL0.2,4,0.949999988079071,0.925,0.7174999713897705,0.925,1.0,0.95,0.925,0.9,1.0,1.0,0.925,0.95,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 53]
 [ 46]
 [ 48]
 [ 50]
 [ 46]
 [ 36]
 [ 48]
 [ 34]
 [ 42]
 [ 46]
 [ 91]
 [ 71]
 [ 91]
 [ 84]
 [ 84]
 [ 66]
 [ 91]
 [ 91]
 [ 82]
 [ 82]
 [109]
 [113]
 [109]
 [109]
 [114]
 [103]
 [117]
 [109]
 [109]
 [103]]",0.875
MTL0s3,MTL0.5s0,MTL0.5,0,0.925000011920929,0.925,0.706250011920929,0.9,1.0,0.925,0.925,0.9,1.0,1.0,0.925,0.9,"[[ 19]
 [ 20]
 [ 19]
 [ 16]
 [ 25]
 [ 19]
 [ 19]
 [ 19]
 [ 14]
 [ 20]
 [ 25]
 [ 29]
 [ 25]
 [ 29]
 [ 29]
 [ 29]
 [ 25]
 [ 29]
 [ 36]
 [ 58]
 [ 67]
 [ 67]
 [ 62]
 [ 67]
 [ 72]
 [ 81]
 [ 62]
 [ 62]
 [ 89]
 [ 62]
 [ 99]
 [113]
 [109]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [119]
 [109]]",0.7375
MTL0s3,MTL0.5s1,MTL0.5,1,0.949999988079071,0.95,0.70374995470047,0.875,1.0,0.925,0.875,0.875,1.0,1.0,0.925,0.925,"[[ 20]
 [ 20]
 [ 20]
 [ 59]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 25]
 [ 46]
 [ 36]
 [ 41]
 [ 36]
 [ 46]
 [ 36]
 [ 44]
 [ 36]
 [ 46]
 [ 91]
 [ 67]
 [ 67]
 [ 81]
 [ 89]
 [ 81]
 [ 81]
 [ 62]
 [ 91]
 [109]
 [109]
 [109]
 [109]
 [109]
 [101]
 [109]
 [ 99]
 [109]
 [ 99]
 [114]]",0.9
MTL0s3,MTL0.5s2,MTL0.5,2,0.975000023841858,0.975,0.7087500095367432,0.95,1.0,0.925,0.925,0.875,1.0,1.0,0.925,0.875,"[[ 21]
 [ 20]
 [  2]
 [ 19]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 19]
 [ 48]
 [ 42]
 [ 48]
 [ 46]
 [ 42]
 [ 53]
 [ 48]
 [ 42]
 [ 42]
 [ 46]
 [ 61]
 [ 61]
 [ 61]
 [ 89]
 [ 91]
 [ 81]
 [ 61]
 [ 70]
 [ 70]
 [ 70]
 [ 95]
 [ 97]
 [109]
 [117]
 [102]
 [ 99]
 [102]
 [101]
 [ 99]
 [102]]",0.85
MTL0s3,MTL0.5s3,MTL0.5,3,0.949999988079071,0.925,0.7237499952316284,0.875,1.0,0.875,0.85,0.875,1.0,1.0,0.85,0.875,"[[ 20]
 [ 19]
 [ 20]
 [ 59]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 43]
 [ 42]
 [ 53]
 [ 42]
 [ 54]
 [ 42]
 [ 53]
 [ 45]
 [ 53]
 [ 53]
 [ 67]
 [ 67]
 [ 67]
 [ 60]
 [ 84]
 [ 81]
 [ 82]
 [ 70]
 [ 67]
 [ 89]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",0.975
MTL0s3,MTL0.5s4,MTL0.5,4,0.949999988079071,0.95,0.706250011920929,0.975,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.975,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 48]
 [ 41]
 [ 42]
 [ 41]
 [ 62]
 [ 62]
 [ 91]
 [ 62]
 [ 84]
 [ 62]
 [ 91]
 [ 62]
 [ 70]
 [ 82]
 [109]
 [113]
 [109]
 [109]
 [114]
 [103]
 [109]
 [103]
 [109]
 [103]]",0.8375
MTL0s3,MTL0.8s0,MTL0.8,0,0.925000011920929,0.95,0.71875,0.825,1.0,0.825,0.825,0.875,1.0,1.0,0.85,0.875,"[[ 19]
 [ 20]
 [ 19]
 [ 16]
 [ 25]
 [ 19]
 [ 19]
 [ 19]
 [ 14]
 [ 20]
 [ 25]
 [ 29]
 [ 25]
 [ 53]
 [ 29]
 [ 36]
 [ 25]
 [ 53]
 [ 36]
 [ 58]
 [ 85]
 [ 79]
 [ 62]
 [ 84]
 [ 84]
 [ 81]
 [ 62]
 [ 62]
 [ 89]
 [ 91]
 [ 95]
 [109]
 [109]
 [ 99]
 [119]
 [102]
 [ 99]
 [118]
 [119]
 [109]]",0.85
MTL0s3,MTL0.8s1,MTL0.8,1,0.949999988079071,0.925,0.70374995470047,0.9,1.0,0.9,0.875,0.875,1.0,1.0,0.875,0.875,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [  5]
 [ 20]
 [  5]
 [ 16]
 [ 20]
 [ 25]
 [ 46]
 [ 25]
 [ 53]
 [ 36]
 [ 44]
 [ 25]
 [ 53]
 [ 36]
 [ 46]
 [ 91]
 [ 62]
 [ 62]
 [ 81]
 [ 72]
 [ 81]
 [ 70]
 [ 70]
 [ 91]
 [109]
 [ 99]
 [109]
 [110]
 [109]
 [ 97]
 [109]
 [ 99]
 [118]
 [ 99]
 [103]]",0.8375
MTL0s3,MTL0.8s2,MTL0.8,2,0.949999988079071,0.925,0.6962499618530273,0.875,1.0,0.9,0.85,0.875,1.0,1.0,0.9,0.9,"[[  8]
 [ 20]
 [  8]
 [ 19]
 [  8]
 [ 53]
 [ 20]
 [ 10]
 [ 20]
 [ 19]
 [ 48]
 [ 42]
 [ 48]
 [ 53]
 [ 42]
 [ 46]
 [ 48]
 [ 53]
 [ 42]
 [ 53]
 [ 67]
 [ 77]
 [ 61]
 [ 89]
 [ 91]
 [ 91]
 [ 82]
 [ 70]
 [ 82]
 [ 91]
 [ 95]
 [109]
 [109]
 [ 99]
 [ 99]
 [101]
 [ 99]
 [ 97]
 [ 99]
 [102]]",0.8625
MTL0s3,MTL0.8s3,MTL0.8,3,0.925000011920929,0.925,0.7099999785423279,0.875,1.0,0.875,0.875,0.875,1.0,1.0,0.875,0.9,"[[ 20]
 [ 19]
 [ 20]
 [ 59]
 [ 10]
 [ 20]
 [ 20]
 [  2]
 [ 20]
 [ 20]
 [ 25]
 [ 42]
 [ 36]
 [ 53]
 [ 54]
 [ 53]
 [ 53]
 [ 42]
 [ 42]
 [ 53]
 [ 70]
 [ 79]
 [ 79]
 [ 60]
 [ 70]
 [ 66]
 [ 89]
 [ 70]
 [ 79]
 [ 89]
 [ 95]
 [109]
 [117]
 [117]
 [109]
 [109]
 [117]
 [109]
 [ 99]
 [109]]",0.9625
MTL0s3,MTL0.8s4,MTL0.8,4,0.949999988079071,0.95,0.7087500095367432,0.95,1.0,0.95,0.9,0.875,1.0,1.0,0.875,0.875,"[[ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 25]
 [ 36]
 [ 36]
 [ 42]
 [ 36]
 [ 36]
 [ 48]
 [ 58]
 [ 42]
 [ 42]
 [ 91]
 [ 91]
 [ 62]
 [ 89]
 [ 84]
 [ 91]
 [ 91]
 [ 91]
 [ 91]
 [ 91]
 [103]
 [ 97]
 [109]
 [ 92]
 [103]
 [103]
 [103]
 [103]
 [114]
 [103]]",0.8
MTL0s3,MTL1s0,MTL1,0,0.925000011920929,0.9,0.6274999976158142,0.9,0.975,0.9,0.975,0.925,0.975,0.95,0.925,0.925,"[[  3]
 [  5]
 [ 23]
 [ 16]
 [ 20]
 [  5]
 [  5]
 [ 18]
 [ 23]
 [ 14]
 [ 27]
 [ 37]
 [ 18]
 [ 27]
 [ 44]
 [ 52]
 [ 18]
 [ 18]
 [  2]
 [ 27]
 [ 62]
 [ 79]
 [ 79]
 [ 71]
 [ 85]
 [ 85]
 [ 62]
 [ 77]
 [ 89]
 [ 89]
 [ 95]
 [117]
 [110]
 [ 93]
 [117]
 [ 92]
 [101]
 [ 93]
 [116]
 [ 92]]",0.6125
MTL0s3,MTL1s1,MTL1,1,0.925000011920929,0.925,0.6087499856948853,0.9,0.95,0.9,0.9,0.875,0.95,0.95,0.875,0.85,"[[ 14]
 [ 18]
 [ 18]
 [ 59]
 [ 25]
 [ 53]
 [ 18]
 [ 27]
 [ 18]
 [ 21]
 [ 25]
 [ 30]
 [ 27]
 [ 29]
 [ 30]
 [ 27]
 [ 25]
 [ 27]
 [ 57]
 [ 27]
 [ 91]
 [ 62]
 [ 71]
 [ 62]
 [ 62]
 [ 65]
 [ 71]
 [ 79]
 [ 71]
 [ 62]
 [111]
 [ 99]
 [ 62]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [103]]",0.625
MTL0s3,MTL1s2,MTL1,2,0.949999988079071,0.925,0.6299999952316284,0.925,0.95,0.9,0.95,0.925,0.925,0.95,0.9,0.9,"[[ 21]
 [ 10]
 [ 21]
 [ 21]
 [ 10]
 [  0]
 [ 16]
 [ 10]
 [ 12]
 [ 21]
 [ 48]
 [ 37]
 [ 21]
 [ 52]
 [ 37]
 [ 37]
 [ 37]
 [ 10]
 [ 37]
 [ 52]
 [ 67]
 [ 83]
 [ 61]
 [ 91]
 [ 63]
 [ 65]
 [ 72]
 [ 63]
 [ 83]
 [ 82]
 [ 95]
 [ 97]
 [ 97]
 [116]
 [118]
 [101]
 [111]
 [ 97]
 [118]
 [118]]",0.65
MTL0s3,MTL1s3,MTL1,3,0.925000011920929,0.925,0.6212499737739563,0.85,0.925,0.875,0.875,0.875,0.95,0.9,0.925,0.875,"[[ 12]
 [ 23]
 [ 52]
 [ 59]
 [ 37]
 [ 52]
 [ 52]
 [ 52]
 [ 52]
 [ 21]
 [ 37]
 [ 52]
 [ 52]
 [ 52]
 [ 53]
 [ 52]
 [ 37]
 [ 52]
 [ 52]
 [ 56]
 [ 70]
 [ 79]
 [ 79]
 [ 60]
 [ 73]
 [ 73]
 [ 61]
 [ 82]
 [ 83]
 [ 82]
 [ 93]
 [ 82]
 [ 91]
 [ 93]
 [106]
 [117]
 [ 99]
 [ 93]
 [ 99]
 [ 60]]",0.65
MTL0s3,MTL1s4,MTL1,4,0.975000023841858,0.975,0.6274999976158142,0.875,0.9,0.85,0.925,0.95,0.95,0.95,0.9,0.925,"[[ 39]
 [ 39]
 [ 39]
 [  0]
 [  3]
 [ 37]
 [ 25]
 [ 36]
 [  3]
 [ 23]
 [ 25]
 [ 27]
 [ 25]
 [ 37]
 [ 25]
 [ 27]
 [ 25]
 [ 36]
 [ 29]
 [ 37]
 [ 69]
 [ 81]
 [ 69]
 [ 69]
 [ 69]
 [ 69]
 [ 91]
 [ 69]
 [ 69]
 [ 69]
 [ 99]
 [ 93]
 [ 69]
 [ 93]
 [ 93]
 [103]
 [ 99]
 [103]
 [103]
 [ 93]]",0.5
MTL0s4,MTL0s0,MTL0,0,0.4250000119209289,0.925,0.7162500023841858,0.95,1.0,0.975,0.95,0.95,1.0,1.0,0.975,0.95,"[[ 19]
 [ 20]
 [ 19]
 [ 16]
 [ 25]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 25]
 [ 36]
 [ 25]
 [ 42]
 [ 36]
 [ 29]
 [ 25]
 [ 58]
 [ 36]
 [ 58]
 [ 67]
 [ 67]
 [ 62]
 [ 81]
 [ 84]
 [ 81]
 [ 62]
 [ 81]
 [ 82]
 [ 81]
 [ 95]
 [109]
 [109]
 [ 95]
 [102]
 [102]
 [ 95]
 [ 95]
 [119]
 [102]]",0.7875
MTL0s4,MTL0s1,MTL0,1,0.5249999761581421,0.95,0.7362499833106995,0.925,1.0,0.925,0.95,0.95,1.0,1.0,0.975,0.975,"[[ 20]
 [ 20]
 [  1]
 [ 20]
 [ 20]
 [ 22]
 [ 20]
 [  1]
 [  1]
 [ 19]
 [ 25]
 [ 27]
 [ 27]
 [ 46]
 [ 36]
 [ 46]
 [ 36]
 [ 46]
 [ 42]
 [ 46]
 [ 80]
 [ 62]
 [ 62]
 [ 81]
 [ 76]
 [ 81]
 [ 62]
 [ 62]
 [ 91]
 [109]
 [109]
 [109]
 [109]
 [109]
 [ 99]
 [109]
 [103]
 [109]
 [ 99]
 [114]]",0.825
MTL0s4,MTL0s2,MTL0,2,0.375,0.925,0.70374995470047,0.95,1.0,0.925,0.95,0.925,1.0,1.0,0.925,0.925,"[[  9]
 [ 20]
 [  9]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 48]
 [ 29]
 [ 36]
 [ 25]
 [ 54]
 [ 29]
 [ 25]
 [ 40]
 [ 42]
 [ 53]
 [ 91]
 [ 81]
 [ 61]
 [ 89]
 [ 85]
 [ 91]
 [ 61]
 [ 61]
 [ 70]
 [ 86]
 [ 95]
 [117]
 [102]
 [117]
 [ 99]
 [ 99]
 [101]
 [101]
 [ 99]
 [ 99]]",0.675
MTL0s4,MTL0s3,MTL0,3,0.574999988079071,0.875,0.7324999570846558,0.875,1.0,0.875,0.95,0.95,1.0,1.0,0.95,0.95,"[[ 19]
 [ 19]
 [ 19]
 [ 59]
 [ 10]
 [ 10]
 [ 19]
 [ 22]
 [ 19]
 [ 20]
 [ 53]
 [ 53]
 [ 53]
 [ 46]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 46]
 [ 91]
 [ 67]
 [ 91]
 [ 87]
 [ 91]
 [ 81]
 [ 91]
 [ 70]
 [ 83]
 [ 89]
 [109]
 [109]
 [109]
 [117]
 [106]
 [109]
 [117]
 [109]
 [109]
 [109]]",0.7875
MTL0s4,MTL0s4,MTL0,4,0.574999988079071,0.95,0.7274999618530273,0.95,1.0,1.0,0.95,0.95,1.0,1.0,1.0,1.0,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 59]
 [  1]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 25]
 [ 42]
 [ 25]
 [ 50]
 [ 36]
 [ 36]
 [ 25]
 [ 40]
 [ 42]
 [ 58]
 [ 67]
 [ 67]
 [ 67]
 [ 84]
 [ 84]
 [ 66]
 [ 62]
 [ 91]
 [ 89]
 [ 82]
 [109]
 [ 97]
 [109]
 [117]
 [103]
 [103]
 [117]
 [103]
 [114]
 [103]]",0.9375
MTL0s4,MTL0.2s0,MTL0.2,0,0.925000011920929,0.9,0.7099999785423279,0.95,1.0,0.975,0.95,0.95,1.0,1.0,0.95,0.95,"[[ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 25]
 [ 20]
 [ 20]
 [ 25]
 [ 14]
 [ 20]
 [ 25]
 [ 29]
 [ 25]
 [ 29]
 [ 29]
 [ 29]
 [ 25]
 [ 40]
 [ 36]
 [ 58]
 [ 67]
 [ 79]
 [ 62]
 [ 81]
 [ 84]
 [ 81]
 [ 62]
 [ 69]
 [ 81]
 [ 81]
 [ 95]
 [109]
 [109]
 [ 95]
 [102]
 [102]
 [ 95]
 [ 99]
 [119]
 [109]]",0.75
MTL0s4,MTL0.2s1,MTL0.2,1,0.949999988079071,0.925,0.7174999713897705,0.95,1.0,0.975,0.95,0.95,1.0,1.0,0.95,0.925,"[[ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 14]
 [ 19]
 [ 25]
 [ 42]
 [ 42]
 [ 41]
 [ 36]
 [ 46]
 [ 25]
 [ 42]
 [ 42]
 [ 46]
 [ 67]
 [ 67]
 [ 62]
 [ 67]
 [ 67]
 [ 64]
 [ 91]
 [ 91]
 [ 67]
 [109]
 [109]
 [109]
 [ 93]
 [ 99]
 [ 96]
 [109]
 [ 99]
 [109]
 [ 99]
 [114]]",0.825
MTL0s4,MTL0.2s2,MTL0.2,2,0.949999988079071,0.95,0.6974999904632568,0.925,1.0,0.95,0.95,0.925,1.0,1.0,0.95,0.95,"[[ 21]
 [ 20]
 [ 23]
 [ 20]
 [ 10]
 [ 19]
 [ 20]
 [ 20]
 [ 19]
 [ 19]
 [ 48]
 [ 42]
 [ 48]
 [ 36]
 [ 54]
 [ 29]
 [ 48]
 [ 42]
 [ 42]
 [ 46]
 [ 67]
 [ 82]
 [ 82]
 [ 60]
 [ 91]
 [ 91]
 [ 61]
 [ 70]
 [ 70]
 [109]
 [ 95]
 [109]
 [109]
 [109]
 [109]
 [109]
 [ 95]
 [109]
 [109]
 [109]]",0.725
MTL0s4,MTL0.2s3,MTL0.2,3,0.925000011920929,0.925,0.737500011920929,0.95,1.0,0.95,0.95,0.95,1.0,1.0,0.95,0.95,"[[ 10]
 [ 19]
 [ 20]
 [ 59]
 [ 10]
 [ 10]
 [ 19]
 [ 10]
 [ 20]
 [ 20]
 [ 25]
 [ 53]
 [ 48]
 [ 41]
 [ 54]
 [ 53]
 [ 53]
 [ 44]
 [ 53]
 [ 41]
 [ 91]
 [ 67]
 [ 79]
 [ 60]
 [ 84]
 [ 81]
 [ 82]
 [ 70]
 [ 83]
 [ 82]
 [109]
 [113]
 [102]
 [117]
 [109]
 [102]
 [102]
 [109]
 [109]
 [109]]",0.7875
MTL0s4,MTL0.2s4,MTL0.2,4,0.949999988079071,0.925,0.7174999713897705,0.95,1.0,0.975,0.95,0.925,1.0,1.0,0.975,0.925,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 53]
 [ 46]
 [ 48]
 [ 50]
 [ 46]
 [ 36]
 [ 48]
 [ 34]
 [ 42]
 [ 46]
 [ 91]
 [ 71]
 [ 91]
 [ 84]
 [ 84]
 [ 66]
 [ 91]
 [ 91]
 [ 82]
 [ 82]
 [109]
 [113]
 [109]
 [109]
 [114]
 [103]
 [117]
 [109]
 [109]
 [103]]",0.875
MTL0s4,MTL0.5s0,MTL0.5,0,0.925000011920929,0.925,0.706250011920929,0.925,1.0,0.975,0.95,0.95,1.0,1.0,1.0,0.975,"[[ 19]
 [ 20]
 [ 19]
 [ 16]
 [ 25]
 [ 19]
 [ 19]
 [ 19]
 [ 14]
 [ 20]
 [ 25]
 [ 29]
 [ 25]
 [ 29]
 [ 29]
 [ 29]
 [ 25]
 [ 29]
 [ 36]
 [ 58]
 [ 67]
 [ 67]
 [ 62]
 [ 67]
 [ 72]
 [ 81]
 [ 62]
 [ 62]
 [ 89]
 [ 62]
 [ 99]
 [113]
 [109]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [119]
 [109]]",0.7875
MTL0s4,MTL0.5s1,MTL0.5,1,0.949999988079071,0.95,0.70374995470047,0.975,1.0,0.975,0.95,0.95,1.0,1.0,0.975,0.975,"[[ 20]
 [ 20]
 [ 20]
 [ 59]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 25]
 [ 46]
 [ 36]
 [ 41]
 [ 36]
 [ 46]
 [ 36]
 [ 44]
 [ 36]
 [ 46]
 [ 91]
 [ 67]
 [ 67]
 [ 81]
 [ 89]
 [ 81]
 [ 81]
 [ 62]
 [ 91]
 [109]
 [109]
 [109]
 [109]
 [109]
 [101]
 [109]
 [ 99]
 [109]
 [ 99]
 [114]]",0.825
MTL0s4,MTL0.5s2,MTL0.5,2,0.975000023841858,0.975,0.7087500095367432,0.95,1.0,0.95,0.9,0.9,1.0,1.0,0.925,0.925,"[[ 21]
 [ 20]
 [  2]
 [ 19]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 19]
 [ 48]
 [ 42]
 [ 48]
 [ 46]
 [ 42]
 [ 53]
 [ 48]
 [ 42]
 [ 42]
 [ 46]
 [ 61]
 [ 61]
 [ 61]
 [ 89]
 [ 91]
 [ 81]
 [ 61]
 [ 70]
 [ 70]
 [ 70]
 [ 95]
 [ 97]
 [109]
 [117]
 [102]
 [ 99]
 [102]
 [101]
 [ 99]
 [102]]",0.675
MTL0s4,MTL0.5s3,MTL0.5,3,0.949999988079071,0.925,0.7237499952316284,0.95,1.0,0.975,0.95,0.95,1.0,1.0,0.975,0.975,"[[ 20]
 [ 19]
 [ 20]
 [ 59]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 43]
 [ 42]
 [ 53]
 [ 42]
 [ 54]
 [ 42]
 [ 53]
 [ 45]
 [ 53]
 [ 53]
 [ 67]
 [ 67]
 [ 67]
 [ 60]
 [ 84]
 [ 81]
 [ 82]
 [ 70]
 [ 67]
 [ 89]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]
 [109]]",0.8
MTL0s4,MTL0.5s4,MTL0.5,4,0.949999988079071,0.95,0.706250011920929,0.925,1.0,0.925,0.925,0.925,1.0,1.0,0.925,0.925,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 36]
 [ 48]
 [ 41]
 [ 42]
 [ 41]
 [ 62]
 [ 62]
 [ 91]
 [ 62]
 [ 84]
 [ 62]
 [ 91]
 [ 62]
 [ 70]
 [ 82]
 [109]
 [113]
 [109]
 [109]
 [114]
 [103]
 [109]
 [103]
 [109]
 [103]]",0.8625
MTL0s4,MTL0.8s0,MTL0.8,0,0.925000011920929,0.95,0.71875,0.95,1.0,0.975,0.95,0.95,1.0,1.0,0.95,0.95,"[[ 19]
 [ 20]
 [ 19]
 [ 16]
 [ 25]
 [ 19]
 [ 19]
 [ 19]
 [ 14]
 [ 20]
 [ 25]
 [ 29]
 [ 25]
 [ 53]
 [ 29]
 [ 36]
 [ 25]
 [ 53]
 [ 36]
 [ 58]
 [ 85]
 [ 79]
 [ 62]
 [ 84]
 [ 84]
 [ 81]
 [ 62]
 [ 62]
 [ 89]
 [ 91]
 [ 95]
 [109]
 [109]
 [ 99]
 [119]
 [102]
 [ 99]
 [118]
 [119]
 [109]]",0.75
